typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20170101,2017,52,2017,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,203,"Meat of swine; fresh, chilled or frozen",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,127451413,FALSE,-1,N/A,0,FALSE,127451413,FALSE,0,FALSE,0,237191006,237191006,0,FALSE,TRUE
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,47857,FALSE,-1,N/A,0,FALSE,47857,FALSE,0,FALSE,10386,0,10386,0,FALSE,TRUE
C,A,20170101,2017,52,2017,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,1001,Wheat and meslin,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1522222947,FALSE,-1,N/A,0,FALSE,1522222947,FALSE,0,FALSE,0,353198006,353198006,0,FALSE,TRUE
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,1005,Maize (corn),4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,68252,FALSE,-1,N/A,0,FALSE,68252,FALSE,0,FALSE,141188,0,141188,0,FALSE,TRUE
C,A,20170101,2017,52,2017,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,1005,Maize (corn),4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,826086683,FALSE,-1,N/A,0,FALSE,826086683,FALSE,0,FALSE,0,151883243,151883243,0,FALSE,TRUE
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,1007,Grain sorghum,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,122771,FALSE,-1,N/A,0,FALSE,122771,FALSE,0,FALSE,130995,0,130995,0,FALSE,TRUE
C,A,20170101,2017,52,2017,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,1007,Grain sorghum,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4603884206,FALSE,-1,N/A,0,FALSE,4603884206,FALSE,0,FALSE,0,839459244,839459244,0,FALSE,TRUE
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,1201,"Soya beans, whether or not broken",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11513073,FALSE,-1,N/A,0,FALSE,11513073,FALSE,0,FALSE,9692475,0,9692475,0,FALSE,TRUE
C,A,20170101,2017,52,2017,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,1201,"Soya beans, whether or not broken",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,31689830357,FALSE,-1,N/A,0,FALSE,31689830357,FALSE,0,FALSE,0,12224802399,12224802399,0,FALSE,TRUE
C,A,20170101,2017,52,2017,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8471,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,310511080,FALSE,-1,N/A,0,FALSE,263659650.9,TRUE,0,FALSE,51060671047,0,51060671047,4,FALSE,TRUE
