level_0,index,Year,Month,Reporter,Trade_Flow,Partner,HS_Code,Commodity,Trade_Value_USD,Category,Sector,Tariff_Rate (%)
266,266,2022,52,USA,Export,China,2711,Petroleum gases and other gaseous hydrocarbons,3999618926,Petroleum Gases (LNG/LPG),Energy,25.0
267,267,2022,52,USA,Import,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",69792014,Alkali & Alkaline-Earth Metals,Chemicals,25.0
268,268,2022,52,USA,Export,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",7797479,Alkali & Alkaline-Earth Metals,Chemicals,25.0
269,269,2022,52,USA,Import,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",121694423,Rare-Earth Compounds,Critical Minerals,25.0
270,270,2022,52,USA,Export,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",516891786,Rare-Earth Compounds,Critical Minerals,25.0
271,271,2022,52,USA,Import,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",744580464,Electromagnets & Magnetic Devices,Industrial Equipment,25.0
272,272,2022,52,USA,Export,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",40721510,Electromagnets & Magnetic Devices,Industrial Equipment,25.0
273,273,2022,52,USA,Import,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",10922096723,Electric Batteries,Energy Storage,0.0
274,274,2022,52,USA,Export,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",92092577,Electric Batteries,Energy Storage,0.0
275,275,2022,52,USA,Import,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio-frequency and electric sound amplifiers and sets",6258053511,Audio Equipment (Speakers & Microphones),Consumer Electronics,25.0
276,276,2022,52,USA,Export,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio-frequency and electric sound amplifiers and sets",94452506,Audio Equipment (Speakers & Microphones),Consumer Electronics,25.0
277,277,2022,52,USA,Import,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",9584328757,Monitors & Television Receivers,Electronics,25.0
278,278,2022,52,USA,Export,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",45357125,Monitors & Television Receivers,Electronics,25.0
279,279,2022,52,USA,Import,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",11644238199,Vehicle Parts & Accessories,Automobile,25.0
