level_0,index,Year,Month,Reporter,Trade_Flow,Partner,HS_Code,Commodity,Trade_Value_USD,Category,Sector,Tariff_Rate (%)
160,160,2025,52,USA,Import,China,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",30506258399,Telecommunication Equipment,Technology,25.0
161,161,2025,52,USA,Export,China,8517,"Telephone sets, including smartphones and other telephones for cellular/wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528",984996665,Telecommunication Equipment,Technology,25.0
162,162,2025,52,USA,Import,China,8541,"Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals",492115396,Semiconductors,Semiconductors,50.0
163,163,2025,52,USA,Export,China,8541,"Semiconductor devices (e.g. diodes, transistors, semiconductor based transducers); including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED) assembled with other LEDs or not, mounted piezo-electric crystals",783326162,Semiconductors,Semiconductors,50.0
164,164,2025,52,USA,Import,China,8542,Electronic integrated circuits,1294068288,Integrated Circuits (Semiconductors),Semiconductors,50.0
165,165,2025,52,USA,Export,China,8542,Electronic integrated circuits,9962293050,Integrated Circuits (Semiconductors),Semiconductors,50.0
166,166,2025,52,USA,Import,China,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",1796540374,Passenger Vehicles,Automobile,100.0
167,167,2025,52,USA,Export,China,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars",2271266199,Passenger Vehicles,Automobile,100.0
168,168,2017,52,USA,Import,China,2709,Petroleum oils and oils obtained from bituminous minerals; crude,31959,Crude Petroleum Oil,Energy,0.0
169,169,2017,52,USA,Export,China,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4378735544,Crude Petroleum Oil,Energy,0.0
170,170,2017,52,USA,Import,China,2711,Petroleum gases and other gaseous hydrocarbons,1522782,Petroleum Gases (LNG/LPG),Energy,0.0
171,171,2017,52,USA,Export,China,2711,Petroleum gases and other gaseous hydrocarbons,2359079106,Petroleum Gases (LNG/LPG),Energy,0.0
172,172,2017,52,USA,Import,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",33484637,Alkali & Alkaline-Earth Metals,Chemicals,0.0
173,173,2017,52,USA,Export,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",20549944,Alkali & Alkaline-Earth Metals,Chemicals,0.0
174,174,2017,52,USA,Import,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",73820173,Rare-Earth Compounds,Critical Minerals,0.0
175,175,2017,52,USA,Export,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",5618423,Rare-Earth Compounds,Critical Minerals,0.0
176,176,2017,52,USA,Import,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",427410053,Electromagnets & Magnetic Devices,Industrial Equipment,0.0
177,177,2017,52,USA,Export,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",31745633,Electromagnets & Magnetic Devices,Industrial Equipment,0.0
178,178,2017,52,USA,Import,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",1735230578,Electric Batteries,Energy Storage,0.0
179,179,2017,52,USA,Export,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",119129912,Electric Batteries,Energy Storage,0.0
180,180,2017,52,USA,Import,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",3231026907,Audio Equipment (Speakers & Microphones),Consumer Electronics,0.0
